dataset,sampler,method,fraction,problem_type,mean_retention,mean_predict_speedup
airfoil_self_noise,full,full,1.0,regression,1.000000,1.000000
airfoil_self_noise,knn-50,knn,0.5,regression,0.690328,1.807136
airfoil_self_noise,knn-75,knn,0.75,regression,0.853373,1.015963
airfoil_self_noise,random-25,random,0.25,regression,0.458348,2.949299
airfoil_self_noise,random-50,random,0.5,regression,0.593271,1.821334
airfoil_self_noise,random-75,random,0.75,regression,0.865995,1.088254
airfoil_self_noise,stratified-25,stratified,0.25,regression,0.435007,3.000158
airfoil_self_noise,stratified-50,stratified,0.5,regression,0.619650,1.747207
airfoil_self_noise,stratified-75,stratified,0.75,regression,0.813552,1.351155
concrete_compressive_strength,full,full,1.0,regression,1.000000,1.000000
concrete_compressive_strength,knn-50,knn,0.5,regression,0.807095,1.640945
concrete_compressive_strength,knn-75,knn,0.75,regression,0.909973,1.364747
concrete_compressive_strength,random-25,random,0.25,regression,0.638339,2.557635
concrete_compressive_strength,random-50,random,0.5,regression,0.748995,1.882093
concrete_compressive_strength,random-75,random,0.75,regression,0.927062,1.345803
concrete_compressive_strength,stratified-25,stratified,0.25,regression,0.725015,2.639778
concrete_compressive_strength,stratified-50,stratified,0.5,regression,0.872546,1.839578
concrete_compressive_strength,stratified-75,stratified,0.75,regression,0.936648,1.381549
diabetes,full,full,1.0,classification,1.000000,1.000000
diabetes,knn-50,knn,0.5,classification,0.992294,1.620263
diabetes,knn-75,knn,0.75,classification,1.012808,1.289618
diabetes,random-25,random,0.25,classification,0.979487,2.385892
diabetes,random-50,random,0.5,classification,1.000079,1.618586
diabetes,random-75,random,0.75,classification,1.007574,1.307884
diabetes,stratified-25,stratified,0.25,classification,1.030823,2.416491
diabetes,stratified-50,stratified,0.5,classification,0.987271,1.647483
diabetes,stratified-75,stratified,0.75,classification,1.015306,1.239174
maternal_health_risk,full,full,1.0,classification,1.000000,1.000000
maternal_health_risk,knn-50,knn,0.5,classification,0.928087,1.741242
maternal_health_risk,knn-75,knn,0.75,classification,0.984955,1.328218
maternal_health_risk,random-25,random,0.25,classification,0.824306,2.521035
maternal_health_risk,random-50,random,0.5,classification,0.884631,1.822515
maternal_health_risk,random-75,random,0.75,classification,0.979933,0.960418
maternal_health_risk,stratified-25,stratified,0.25,classification,0.846174,2.530420
maternal_health_risk,stratified-50,stratified,0.5,classification,0.894564,1.259986
maternal_health_risk,stratified-75,stratified,0.75,classification,0.963199,1.306996
